campus_id,timestamp,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
1,03-04-2024,26.5,,,0,1007.5,317,2.9
1,04-04-2024,28,,,0,1007.5,310,3.4
1,05-04-2024,28.4,,,0,1007,260,8.1
1,06-04-2024,28.2,,,0,1007.1,242,6.7
1,07-04-2024,27,,,0,1007.1,260,5.4
1,08-04-2024,27.4,,,0,1008,261,5.5
1,09-04-2024,27.7,,,0,1008.7,219,4.1
1,10-04-2024,28.1,,,0,1008.8,135,3.6
1,11-04-2024,28.7,,,0,1009.6,97,2.9
1,12-04-2024,29.6,,,0,1009,68,2.2
1,13-04-2024,28.9,,,0,1008.3,134,6.3
1,14-04-2024,26.7,,,0,1010.5,352,4.9
1,15-04-2024,28.4,,,0,1010.3,329,3.5
1,16-04-2024,28.6,,,0,1009.2,287,11.3
1,17-04-2024,27.9,,,0,1007.6,289,15
1,18-04-2024,29.7,,,0,1005.7,283,11.5
1,19-04-2024,30.9,,,0,1003.5,273,7.7
1,20-04-2024,30.3,,,0,1003.1,277,7.5
1,21-04-2024,30,,,0,1004.5,288,8.6
1,22-04-2024,29.8,,,0,1005.1,272,7
1,23-04-2024,29.3,,,0,1004.8,297,5.8
1,24-04-2024,29.1,,,0,1004.8,292,4.8
1,25-04-2024,30,,,0,1004.9,284,6.7
1,26-04-2024,30.7,,,0,1003.7,231,4.7
1,27-04-2024,30.5,,,0,1004.6,273,6.2
1,28-04-2024,30.3,,,0,1005.6,308,3.2
1,29-04-2024,29.9,,,0,1005.2,323,5.7
1,30-04-2024,29.4,,,0,1004.4,281,9.4
1,01-05-2024,27.4,,,0,1002.6,283,10.7
1,02-05-2024,27.8,,,0,1003.7,283,8.5
1,03-05-2024,29.4,,,0,1004.3,271,7.3
1,04-05-2024,30.7,,,0,1004.1,265,5.4
1,05-05-2024,32.4,,,0,1000,287,5.5
1,06-05-2024,32.7,,,0,1001.7,269,5.7
